Subcategory,Year,Aid Category,Derived Unit,Restrict,student level (group),year comp,Years to Display,Category,Enroll,Stdnt Lvl,student level,Average Amount,Percent of Financial Aid,Percent of Students Awarded,Recipients,Total Amount Awarded
Non-SOC,2015-16,All Aid,UW-Platteville,True,Undergraduate,True,2015,Students of Color,8017,1,1,$9K,83%,70%,"5,601",$52M
SOC,2019-20,All Aid,UW-Madison,True,Graduate,True,2019,Students of Color,2076,3,3,$26K,9%,84%,"1,750",$46M
Non-SOC,2019-20,All Aid,UW-Madison,True,Graduate,True,2019,Students of Color,10700,3,3,$21K,34%,78%,"8,385",$175M
SOC,2019-20,All Aid,UW-Madison,True,Undergraduate,True,2019,Students of Color,6399,1,1,$23K,19%,68%,"4,333",$98M
Non-SOC,2019-20,All Aid,UW-Madison,True,Undergraduate,True,2019,Students of Color,29778,1,1,$13K,37%,48%,"14,220",$191M
SOC,2018-19,All Aid,UW-Madison,True,Graduate,True,2018,Students of Color,1941,3,3,$23K,8%,86%,"1,668",$39M
Non-SOC,2018-19,All Aid,UW-Madison,True,Graduate,True,2018,Students of Color,10794,3,3,$21K,36%,78%,"8,469",$176M
SOC,2018-19,All Aid,UW-Madison,True,Undergraduate,True,2018,Students of Color,5997,1,1,$21K,18%,69%,"4,124",$88M
Non-SOC,2018-19,All Aid,UW-Madison,True,Undergraduate,True,2018,Students of Color,29719,1,1,$13K,38%,48%,"14,271",$184M
SOC,2019-20,All Aid,UW-Platteville,True,Graduate,True,2019,Students of Color,246,3,3,$12K,2%,40%,98,$1M
Non-SOC,2019-20,All Aid,UW-Platteville,True,Graduate,True,2019,Students of Color,832,3,3,$10K,4%,30%,253,$3M
SOC,2019-20,All Aid,UW-Platteville,True,Undergraduate,True,2019,Students of Color,865,1,1,$12K,12%,69%,596,$7M
Non-SOC,2019-20,All Aid,UW-Platteville,True,Undergraduate,True,2019,Students of Color,7461,1,1,$10K,82%,68%,"5,076",$48M
SOC,2018-19,All Aid,UW-Green Bay,True,Graduate,True,2018,Students of Color,83,3,3,$15K,1%,63%,52,$1M
Non-SOC,2018-19,All Aid,UW-Green Bay,True,Graduate,True,2018,Students of Color,358,3,3,$12K,3%,44%,157,$2M
SOC,2018-19,All Aid,UW-Green Bay,True,Undergraduate,True,2018,Students of Color,1676,1,1,$11K,21%,61%,"1,028",$11M
Non-SOC,2018-19,All Aid,UW-Green Bay,True,Undergraduate,True,2018,Students of Color,8111,1,1,$9K,74%,53%,"4,286",$40M
SOC,2017-18,All Aid,UW-Oshkosh,True,Graduate,True,2017,Students of Color,155,3,3,$14K,2%,59%,92,$1M
Non-SOC,2017-18,All Aid,UW-Oshkosh,True,Graduate,True,2017,Students of Color,1701,3,3,$13K,8%,29%,496,$6M
SOC,2017-18,All Aid,UW-Oshkosh,True,Undergraduate,True,2017,Students of Color,1911,1,1,$12K,18%,66%,"1,258",$16M
Non-SOC,2017-18,All Aid,UW-Oshkosh,True,Undergraduate,True,2017,Students of Color,12288,1,1,$10K,73%,50%,"6,154",$61M
SOC,2016-17,All Aid,UW-Colleges (historical),True,Undergraduate,True,2016,Students of Color,2713,1,1,$7K,22%,47%,"1,262",$9M
Non-SOC,2016-17,All Aid,UW-Colleges (historical),True,Undergraduate,True,2016,Students of Color,13234,1,1,$7K,78%,37%,"4,916",$32M
SOC,2016-17,All Aid,UW-River Falls,True,Graduate,True,2016,Students of Color,55,3,3,$13K,1%,65%,36,$0M
Non-SOC,2016-17,All Aid,UW-River Falls,True,Graduate,True,2016,Students of Color,518,3,3,$13K,7%,53%,272,$3M
SOC,2016-17,All Aid,UW-River Falls,True,Undergraduate,True,2016,Students of Color,608,1,1,$11K,12%,83%,505,$5M
Non-SOC,2016-17,All Aid,UW-River Falls,True,Undergraduate,True,2016,Students of Color,5468,1,1,$9K,80%,73%,"3,985",$37M
SOC,2019-20,All Aid,UW-Whitewater,True,Graduate,True,2019,Students of Color,271,3,3,$15K,2%,53%,144,$2M
Non-SOC,2019-20,All Aid,UW-Whitewater,True,Graduate,True,2019,Students of Color,1694,3,3,$13K,8%,35%,596,$8M
SOC,2019-20,All Aid,UW-Whitewater,True,Undergraduate,True,2019,Students of Color,2226,1,1,$12K,20%,74%,"1,638",$19M
Non-SOC,2019-20,All Aid,UW-Whitewater,True,Undergraduate,True,2019,Students of Color,10483,1,1,$10K,70%,64%,"6,702",$67M
SOC,2016-17,All Aid,UW-Green Bay,True,Graduate,True,2016,Students of Color,58,3,3,$16K,1%,55%,32,$1M
Non-SOC,2016-17,All Aid,UW-Green Bay,True,Graduate,True,2016,Students of Color,433,3,3,$13K,4%,32%,140,$2M
SOC,2016-17,All Aid,UW-Green Bay,True,Undergraduate,True,2016,Students of Color,1029,1,1,$12K,17%,68%,701,$8M
Non-SOC,2016-17,All Aid,UW-Green Bay,True,Undergraduate,True,2016,Students of Color,6904,1,1,$10K,78%,57%,"3,928",$38M
SOC,2017-18,All Aid,UW-La Crosse,True,Graduate,True,2017,Students of Color,85,3,3,$16K,1%,58%,49,$1M
Non-SOC,2017-18,All Aid,UW-La Crosse,True,Graduate,True,2017,Students of Color,1239,3,3,$14K,11%,49%,601,$8M
SOC,2017-18,All Aid,UW-La Crosse,True,Undergraduate,True,2017,Students of Color,970,1,1,$11K,11%,78%,756,$9M
Non-SOC,2017-18,All Aid,UW-La Crosse,True,Undergraduate,True,2017,Students of Color,9478,1,1,$9K,77%,69%,"6,511",$59M
SOC,2017-18,All Aid,UW-Colleges (historical),True,Undergraduate,True,2017,Students of Color,2790,1,1,$7K,26%,47%,"1,310",$10M
Non-SOC,2017-18,All Aid,UW-Colleges (historical),True,Undergraduate,True,2017,Students of Color,12727,1,1,$6K,74%,35%,"4,423",$27M
SOC,2017-18,All Aid,UW-Parkside,True,Graduate,True,2017,Students of Color,32,3,3,$11K,0%,38%,12,$0M
Non-SOC,2017-18,All Aid,UW-Parkside,True,Graduate,True,2017,Students of Color,150,3,3,$10K,2%,49%,73,$1M
SOC,2017-18,All Aid,UW-Parkside,True,Undergraduate,True,2017,Students of Color,1556,1,1,$11K,39%,81%,"1,264",$14M
Non-SOC,2017-18,All Aid,UW-Parkside,True,Undergraduate,True,2017,Students of Color,3215,1,1,$9K,59%,74%,"2,371",$22M
SOC,2016-17,All Aid,UW-Stout,True,Graduate,True,2016,Students of Color,187,3,3,$12K,1%,44%,83,$1M
Non-SOC,2016-17,All Aid,UW-Stout,True,Graduate,True,2016,Students of Color,1687,3,3,$11K,8%,33%,561,$6M
SOC,2016-17,All Aid,UW-Stout,True,Undergraduate,True,2016,Students of Color,959,1,1,$12K,13%,82%,788,$9M
Non-SOC,2016-17,All Aid,UW-Stout,True,Undergraduate,True,2016,Students of Color,8396,1,1,$10K,78%,69%,"5,817",$57M
SOC,2019-20,All Aid,UW-Stout,True,Graduate,True,2019,Students of Color,172,3,3,$14K,2%,44%,76,$1M
Non-SOC,2019-20,All Aid,UW-Stout,True,Graduate,True,2019,Students of Color,1358,3,3,$11K,8%,34%,463,$5M
SOC,2019-20,All Aid,UW-Stout,True,Undergraduate,True,2019,Students of Color,955,1,1,$12K,14%,80%,765,$9M
Non-SOC,2019-20,All Aid,UW-Stout,True,Undergraduate,True,2019,Students of Color,7223,1,1,$10K,76%,68%,"4,887",$48M
SOC,2019-20,All Aid,UW-Milwaukee,True,Graduate,True,2019,Students of Color,1054,3,3,$19K,6%,73%,769,$15M
Non-SOC,2019-20,All Aid,UW-Milwaukee,True,Graduate,True,2019,Students of Color,4338,3,3,$16K,18%,62%,"2,694",$43M
SOC,2019-20,All Aid,UW-Milwaukee,True,Undergraduate,True,2019,Students of Color,7433,1,1,$12K,29%,76%,"5,627",$70M
Non-SOC,2019-20,All Aid,UW-Milwaukee,True,Undergraduate,True,2019,Students of Color,17785,1,1,$11K,48%,60%,"10,652",$118M
SOC,2019-20,All Aid,UW-Green Bay,True,Graduate,True,2019,Students of Color,102,3,3,$16K,2%,54%,55,$1M
Non-SOC,2019-20,All Aid,UW-Green Bay,True,Graduate,True,2019,Students of Color,452,3,3,$11K,4%,44%,201,$2M
SOC,2019-20,All Aid,UW-Green Bay,True,Undergraduate,True,2019,Students of Color,1905,1,1,$11K,24%,59%,"1,119",$12M
Non-SOC,2019-20,All Aid,UW-Green Bay,True,Undergraduate,True,2019,Students of Color,8320,1,1,$9K,70%,49%,"4,067",$36M
